lower_rate,upper_rate,fee_rate,upper_tick,lower_tick
0.20000,1,0.00008261840679171746745721305928,200966,184871
0.20000,1.0100,0.00008246329291771041389172671337,201066,184871
0.20000,1.0400,0.00008151606880079115861289070561,201358,184871
0.20000,1.0900,0.00008006370307141825458949161553,201828,184871
0.20000,1.1600,0.00007826789140981554296721988253,202450,184871
0.20000,1.2500,0.00007627960595983535781398697829,203198,184871
0.20000,1.3600,0.0000742370433317778412921216805,204041,184871
0.20000,1.4900,0.00007223219312267647885355387565,204954,184871
0.20000,1.6400,0.0000703283999738949046000481841,205913,184871
0.20000,1.8100,0.00006855700886909924407143416623,206900,184871
0.20000,2.0000,0.0000669348273105536073114091653,207898,184871
0.20000,2.2100,0.00006546128731163907367059481111,208896,184871
0.20000,2.4400,0.00006412873871113835279727735531,209886,184871
0.20000,2.6900,0.00006292647213954983052185356151,210862,184871
0.20000,2.9600,0.00006184325716304339581512538223,211819,184871
0.20000,3.2500,0.00006086788090594505974953621438,212753,184871
0.20000,3.5600,0.00005998668306773471646805325036,213664,184871
0.20000,3.8900,0.00005918903878245100117515990203,214551,184871
0.20000,4.2400,0.00005846666415899900234455231929,215412,184871
0.20000,4.6100,0.00005780930229422956541054022859,216249,184871
0.20000,5.0000,0.0000572104805013086846788460421,217061,184871
0.27800,1,0.0001138959942254970698103771672,200966,188164
0.27800,1.0100,0.0001135094673236749313220080363,201066,188164
0.27800,1.0400,0.0001117224798861266184540129627,201358,188164
0.27800,1.0900,0.0001090122083927421677843908369,201828,188164
0.27800,1.1600,0.0001057097919610680840870507775,202450,188164
0.27800,1.2500,0.0001021148588094020755313304281,203198,188164
0.27800,1.3600,0.00009848729206683534625985117379,204041,188164
0.27800,1.4900,0.00009498956002921560364907398131,204954,188164
0.27800,1.6400,0.00009172429468859734183462725056,205913,188164
0.27800,1.8100,0.00008873405120744818232913479999,206900,188164
0.27800,2.0000,0.00008603530247503933215990619024,207898,188164
0.27800,2.2100,0.00008361599378168893678430599735,208896,188164
0.27800,2.4400,0.00008145403322242071210937892016,209886,188164
0.27800,2.6900,0.00007952417044327853858675782474,210862,188164
0.27800,2.9600,0.00007780198954921214855144363443,211819,188164
0.27800,3.2500,0.00007626452567859176840130419568,212753,188164
0.27800,3.5600,0.00007488619092491541928073052213,213664,188164
0.27800,3.8900,0.00007364719164516845758521362062,214551,188164
0.27800,4.2400,0.00007253212842561892374645636241,215412,188164
0.27800,4.6100,0.00007152316457615393266147529091,216249,188164
0.27800,5.0000,0.00007060877831280522303072139379,217061,188164
0.35200,1,0.0001489676821735458258573877854,200966,190524
0.35200,1.0100,0.0001482096830963908703954164526,201066,190524
0.35200,1.0400,0.0001451777098380179642171868549,201358,190524
0.35200,1.0900,0.0001406342353912879587863725386,201828,190524
0.35200,1.1600,0.0001351858988011873687607297894,202450,190524
0.35200,1.2500,0.0001293618594328407750731253981,203198,190524
0.35200,1.3600,0.0001235948216276939194642120821,204041,190524
0.35200,1.4900,0.0001181358306484613468344465517,204954,190524
0.35200,1.6400,0.0001131273337157240692861507939,205913,190524
0.35200,1.8100,0.0001086131241299376036990307309,206900,190524
0.35200,2.0000,0.0001045970903155841359792790996,207898,190524
0.35200,2.2100,0.0001010428212031862681015540023,208896,190524
0.35200,2.4400,0.00009790270322969795338038898254,209886,190524
0.35200,2.6900,0.00009512799255632845675200605279,210862,190524
0.35200,2.9600,0.00009267409954598230638089853398,211819,190524
0.35200,3.2500,0.00009050088382533436226183106407,212753,190524
0.35200,3.5600,0.00008856645622255244413858232011,213664,190524
0.35200,3.8900,0.00008683864836314141177341469271,214551,190524
0.35200,4.2400,0.00008529255030883303251062604659,215412,190524
0.35200,4.6100,0.00008390075480034641129806233297,216249,190524
0.35200,5.0000,0.00008264527943828715440247845793,217061,190524
0.42200,1,0.0001893296930283559173356548786,200966,192338
0.42200,1.0100,0.0001879984179280110787740043277,201066,192338
0.42200,1.0400,0.0001831466282205475828341534941,201358,192338
0.42200,1.0900,0.0001759745362618095742068260964,201828,192338
0.42200,1.1600,0.0001675261471067561658635384296,202450,192338
0.42200,1.2500,0.0001586734901679613669810734484,203198,192338
0.42200,1.3600,0.0001500836696701356066394291677,204041,192338
0.42200,1.4900,0.000142109473197980348962552238,204954,192338
0.42200,1.6400,0.0001349237630307052294224868694,205913,192338
0.42200,1.8100,0.0001285514474212933665340908,206900,192338
0.42200,2.0000,0.0001229635451964290969121285923,207898,192338
